"Table with row headers in columns A and B, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Race,Sex,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,Black alone or in combination,Unknown,203,198,118,58.3,13.7,59.7,13.8,113,55.6,13.8,57,13.9
,Asian alone or in combination,Unknown,171,135,72,42.2,15.4,53.8,17.5,65,37.7,15.1,48.1,17.6
CONNECTICUT,Total,Unknown,2777,2524,1850,66.6,3.2,73.3,3.2,1681,60.5,3.3,66.6,3.4
,Unknown,Male,1333,1204,843,63.2,4.7,70,4.7,767,57.5,4.9,63.7,5
,Unknown,Female,1444,1320,1008,69.8,4.3,76.3,4.2,915,63.4,4.6,69.3,4.6
,White alone,Unknown,2197,2043,1543,70.2,3.5,75.5,3.4,1392,63.4,3.7,68.1,3.7
,White non-Hispanic alone,Unknown,1841,1788,1381,75,3.6,77.3,3.6,1270,69,3.9,71,3.9
,Black alone,Unknown,323,282,192,59.5,9.4,68.3,9.5,184,56.8,9.4,65.2,9.7
,Asian alone,Unknown,216,158,96,44.4,12,60.5,13.7,90,41.6,11.9,56.6,13.9
,Hispanic (of any race),Unknown,461,347,235,51,8.7,67.8,9.4,196,42.4,8.6,56.4,10
,White alone or in combination,Unknown,2211,2058,1548,70,3.5,75.2,3.4,1395,63.1,3.7,67.8,3.7
,Black alone or in combination,Unknown,326,285,195,59.9,9.3,68.6,9.4,184,56.3,9.4,64.5,9.7
,Asian alone or in combination,Unknown,216,158,96,44.4,12,60.5,13.7,90,41.6,11.9,56.6,13.9
DELAWARE,Total,Unknown,766,722,542,70.8,3,75.1,3,489,63.8,3.2,67.7,3.2
,Unknown,Male,361,339,247,68.3,4.5,72.8,4.4,223,61.6,4.7,65.7,4.7
,Unknown,Female,404,383,296,73.1,4,77.2,3.9,266,65.8,4.3,69.5,4.3
