"Table with row headers in columns A and B, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Race,Sex,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,Unknown,Male,1146,1068,699,61,3.9,65.5,4,647,56.5,4,60.6,4.1
,Unknown,Female,1174,1110,769,65.5,3.8,69.3,3.8,739,62.9,3.9,66.6,3.9
,White alone,Unknown,2096,2000,1368,65.3,2.8,68.4,2.8,1293,61.7,2.9,64.7,2.9
,White non-Hispanic alone,Unknown,1860,1832,1268,68.2,3,69.2,2.9,1203,64.7,3,65.7,3
,Black alone,Unknown,40,33,9,B,B,B,B,9,B,B,B,B
,Asian alone,Unknown,51,18,10,B,B,B,B,10,B,B,B,B
,Hispanic (of any race),Unknown,253,180,100,39.4,8.8,55.4,10.6,89,35.3,8.6,49.6,10.6
,White alone or in combination,Unknown,2118,2019,1378,65.1,2.8,68.2,2.8,1303,61.5,2.9,64.5,2.9
,Black alone or in combination,Unknown,48,41,11,B,B,B,B,11,B,B,B,B
,Asian alone or in combination,Unknown,55,20,13,B,B,B,B,13,B,B,B,B
VERMONT,Total,Unknown,507,500,365,72,3.4,73,3.4,342,67.5,3.6,68.4,3.6
,Unknown,Male,250,247,178,71.2,4.9,72.1,4.9,163,65.5,5.1,66.3,5.2
,Unknown,Female,257,253,187,72.9,4.7,74,4.7,178,69.4,4.9,70.5,4.9
,White alone,Unknown,477,474,354,74.3,3.4,74.8,3.4,332,69.7,3.6,70.2,3.6
,White non-Hispanic alone,Unknown,474,470,351,74.1,3.4,74.6,3.4,329,69.4,3.6,69.9,3.6
,Black alone,Unknown,8,5,1,B,B,B,B,1,B,B,B,B
,Asian alone,Unknown,11,11,3,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),Unknown,6,6,4,B,B,B,B,4,B,B,B,B
,White alone or in combination,Unknown,485,482,360,74.1,3.4,74.7,3.4,337,69.4,3.6,69.9,3.6
,Black alone or in combination,Unknown,10,7,1,B,B,B,B,1,B,B,B,B
,Asian alone or in combination,Unknown,14,14,6,B,B,B,B,6,B,B,B,B
VIRGINIA,Total,Unknown,6481,5974,4541,70.1,2.4,76,2.3,4275,66,2.5,71.5,2.4
,Unknown,Male,3084,2842,2092,67.8,3.5,73.6,3.5,1981,64.2,3.6,69.7,3.6
,Unknown,Female,3396,3132,2449,72.1,3.2,78.2,3.1,2293,67.5,3.4,73.2,3.3
,White alone,Unknown,4526,4268,3393,75,2.7,79.5,2.6,3204,70.8,2.8,75.1,2.8
,White non-Hispanic alone,Unknown,3979,3904,3160,79.4,2.7,80.9,2.6,3018,75.9,2.8,77.3,2.8
,Black alone,Unknown,1237,1129,764,61.8,5.5,67.7,5.6,722,58.3,5.6,63.9,5.7
,Asian alone,Unknown,512,409,271,52.9,9.1,66.1,9.6,253,49.4,9.1,61.8,9.9
,Hispanic (of any race),Unknown,678,425,271,39.9,8.2,63.8,10.2,218,32.1,7.8,51.3,10.6
,White alone or in combination,Unknown,4620,4362,3454,74.8,2.7,79.2,2.6,3248,70.3,2.8,74.5,2.8
,Black alone or in combination,Unknown,1304,1196,805,61.7,5.4,67.3,5.4,748,57.4,5.5,62.5,5.6
,Asian alone or in combination,Unknown,535,432,287,53.6,8.9,66.4,9.3,269,50.3,8.9,62.3,9.6
WASHINGTON,Total,Unknown,5993,5389,4029,67.2,2.5,74.8,2.4,3854,64.3,2.6,71.5,2.5
,Unknown,Male,2947,2638,1921,65.2,3.6,72.8,3.6,1806,61.3,3.7,68.5,3.7
,Unknown,Female,3046,2751,2109,69.2,3.5,76.7,3.3,2047,67.2,3.5,74.4,3.4
,White alone,Unknown,4735,4413,3452,72.9,2.7,78.2,2.6,3309,69.9,2.8,75,2.7
,White non-Hispanic alone,Unknown,4122,3985,3177,77.1,2.7,79.7,2.6,3070,74.5,2.8,77,2.8
,Black alone,Unknown,257,210,136,53.1,12.3,64.7,13,130,50.8,12.3,61.9,13.2
,Asian alone,Unknown,557,334,213,38.3,8.4,63.9,10.7,210,37.7,8.4,62.8,10.8
,Hispanic (of any race),Unknown,680,485,296,43.6,8.2,61,9.6,261,38.4,8.1,53.7,9.8
,White alone or in combination,Unknown,4928,4593,3573,72.5,2.6,77.8,2.5,3426,69.5,2.7,74.6,2.7
,Black alone or in combination,Unknown,331,285,170,51.2,10.9,59.5,11.5,164,49.4,10.9,57.4,11.6
,Asian alone or in combination,Unknown,590,363,227,38.5,8.2,62.5,10.4,224,37.9,8.1,61.6,10.4
WEST VIRGINIA,Total,Unknown,1397,1379,928,66.4,3.4,67.3,3.4,773,55.3,3.6,56.1,3.6
,Unknown,Male,684,675,457,66.9,4.9,67.7,4.9,379,55.4,5.1,56.1,5.2
,Unknown,Female,714,704,471,65.9,4.8,66.8,4.8,395,55.3,5,56,5.1
,White alone,Unknown,1324,1314,879,66.4,3.5,66.9,3.5,735,55.5,3.7,56,3.7
,White non-Hispanic alone,Unknown,1303,1301,871,66.9,3.5,67,3.5,729,56,3.7,56.1,3.7
,Black alone,Unknown,45,42,26,B,B,B,B,18,B,B,B,B
,Asian alone,Unknown,5,1,1,B,B,B,B,1,B,B,B,B
,Hispanic (of any race),Unknown,23,15,10,B,B,B,B,8,B,B,B,B
,White alone or in combination,Unknown,1346,1336,900,66.9,3.5,67.4,3.5,754,56,3.7,56.5,3.7
,Black alone or in combination,Unknown,54,50,34,B,B,B,B,25,B,B,B,B
,Asian alone or in combination,Unknown,6,2,2,B,B,B,B,2,B,B,B,B
WISCONSIN,Total,Unknown,4538,4421,3391,74.7,2.7,76.7,2.6,3253,71.7,2.8,73.6,2.7
,Unknown,Male,2223,2158,1616,72.7,3.9,74.9,3.8,1533,68.9,4,71,4
,Unknown,Female,2315,2263,1775,76.7,3.6,78.5,3.6,1720,74.3,3.7,76,3.7
,White alone,Unknown,4005,3931,3119,77.9,2.7,79.3,2.7,3008,75.1,2.8,76.5,2.8
,White non-Hispanic alone,Unknown,3776,3772,3020,80,2.7,80.1,2.7,2914,77.2,2.8,77.2,2.8
,Black alone,Unknown,263,263,126,47.7,12.1,47.7,12.1,114,43.5,12,43.5,12
,Asian alone,Unknown,117,73,44,B,B,B,B,44,B,B,B,B
,Hispanic (of any race),Unknown,242,173,105,43.5,13.7,61,16,101,41.7,13.7,58.4,16.2
,White alone or in combination,Unknown,4113,4040,3192,77.6,2.7,79,2.6,3081,74.9,2.8,76.3,2.8
,Black alone or in combination,Unknown,318,318,152,47.8,11,47.8,11,141,44.3,11,44.3,11
,Asian alone or in combination,Unknown,138,94,59,42.4,17.1,62,20.3,59,42.4,17.1,62,20.3
WYOMING,Total,Unknown,436,427,296,67.9,3.4,69.3,3.4,280,64.1,3.5,65.5,3.5
,Unknown,Male,217,212,141,65,5,66.5,5,132,61.1,5.1,62.5,5.1
,Unknown,Female,219,215,155,70.8,4.7,72.1,4.7,147,67.2,4.9,68.4,4.8
,White alone,Unknown,410,405,280,68.3,3.5,69.2,3.5,265,64.5,3.6,65.4,3.6
,White non-Hispanic alone,Unknown,379,376,265,70,3.6,70.6,3.6,251,66.2,3.7,66.8,3.7
,Black alone,Unknown,2,2,1,B,B,B,B,1,B,B,B,B
,Asian alone,Unknown,2,-,-,B,B,B,B,-,B,B,B,B
,Hispanic (of any race),Unknown,40,38,23,B,B,B,B,21,B,B,B,B
,White alone or in combination,Unknown,422,416,290,68.6,3.5,69.6,3.5,273,64.7,3.6,65.7,3.6
,Black alone or in combination,Unknown,4,3,3,B,B,B,B,3,B,B,B,B
,Asian alone or in combination,Unknown,4,2,2,B,B,B,B,2,B,B,B,B

"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www.census.gov/programs-surveys/cps/technical-documentation/complete.2020.html",,,,,,,,,,,,,,
