"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
STATE,Race,Sex,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1
,Unknown,Male,3026,2778,2023,66.9,2.9,72.8,2.8,1806,59.7,3,65,3
,Unknown,Female,3317,3052,2376,71.6,2.6,77.9,2.5,2168,65.3,2.8,71,2.8
,White alone,Unknown,4459,4172,3218,72.2,2.3,77.1,2.2,2891,64.8,2.4,69.3,2.4
,White non-Hispanic alone,Unknown,3976,3885,3009,75.7,2.3,77.5,2.2,2702,68,2.5,69.6,2.5
,Black alone,Unknown,1189,1136,817,68.7,5.5,71.9,5.4,738,62,5.7,64.9,5.8
,Asian alone,Unknown,462,300,219,47.4,9.9,73,10.9,210,45.4,9.8,69.9,11.2
,Hispanic (of any race),Unknown,606,342,240,39.5,10.5,70.1,13.1,219,36.2,10.3,64.2,13.7
,White alone or in combination,Unknown,4571,4285,3298,72.1,2.2,77,2.2,2967,64.9,2.4,69.2,2.4
,Black alone or in combination,Unknown,1256,1203,851,67.8,5.4,70.8,5.3,768,61.2,5.6,63.9,5.6
,Asian alone or in combination,Unknown,513,351,261,50.9,9.4,74.3,9.9,251,49.1,9.4,71.7,10.2
WASHINGTON,Total,Unknown,5592,5104,3906,69.9,2,76.5,2,3382,60.5,2.2,66.3,2.2
,Unknown,Male,2765,2497,1852,67,3,74.2,2.9,1525,55.2,3.1,61.1,3.2
,Unknown,Female,2827,2607,2055,72.7,2.8,78.8,2.7,1857,65.7,3,71.2,2.9
,White alone,Unknown,4628,4353,3403,73.5,2.2,78.2,2.1,3027,65.4,2.3,69.5,2.3
,White non-Hispanic alone,Unknown,4059,3965,3164,77.9,2.2,79.8,2.1,2842,70,2.4,71.7,2.4
,Black alone,Unknown,201,184,116,57.7,14,63.2,14.3,78,38.8,13.8,42.6,14.7
,Asian alone,Unknown,426,239,190,44.6,10.1,79.6,11,165,38.7,9.9,69,12.6
,Hispanic (of any race),Unknown,656,465,292,44.6,10.1,62.9,11.7,219,33.4,9.6,47.2,12.1
,White alone or in combination,Unknown,4775,4500,3503,73.4,2.1,77.8,2.1,3093,64.8,2.3,68.7,2.3
,Black alone or in combination,Unknown,239,222,137,57.4,12.9,61.9,13.1,85,35.5,12.5,38.3,13.2
,Asian alone or in combination,Unknown,470,283,224,47.7,9.7,79.4,10.1,188,40.1,9.5,66.7,11.8
WEST VIRGINIA,Total,Unknown,1434,1425,913,63.6,2.8,64.1,2.8,723,50.4,2.9,50.8,2.9
,Unknown,Male,695,688,428,61.5,4,62.1,4,335,48.2,4.1,48.7,4.1
,Unknown,Female,739,736,485,65.6,3.8,65.9,3.8,388,52.5,4,52.7,4
,White alone,Unknown,1350,1347,865,64,2.8,64.2,2.8,682,50.5,3,50.7,3
,White non-Hispanic alone,Unknown,1340,1339,860,64.2,2.8,64.2,2.8,679,50.7,3,50.7,3
,Black alone,Unknown,48,47,27,B,B,B,B,24,B,B,B,B
,Asian alone,Unknown,10,7,4,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),Unknown,13,9,4,B,B,B,B,3,B,B,B,B
,White alone or in combination,Unknown,1371,1368,880,64.2,2.8,64.3,2.8,695,50.7,2.9,50.8,2.9
,Black alone or in combination,Unknown,55,55,30,B,B,B,B,25,B,B,B,B
,Asian alone or in combination,Unknown,14,11,8,B,B,B,B,6,B,B,B,B
WISCONSIN,Total,Unknown,4465,4354,3323,74.4,2.2,76.3,2.1,3068,68.7,2.3,70.5,2.3
,Unknown,Male,2193,2132,1584,72.2,3.2,74.3,3.1,1468,66.9,3.3,68.8,3.3
,Unknown,Female,2272,2222,1739,76.5,2.9,78.3,2.9,1600,70.4,3.2,72,3.2
,White alone,Unknown,4079,3998,3130,76.7,2.2,78.3,2.2,2897,71,2.4,72.5,2.3
,White non-Hispanic alone,Unknown,3792,3776,3009,79.4,2.2,79.7,2.2,2796,73.7,2.4,74,2.4
,Black alone,Unknown,205,197,101,49.3,14,51.2,14.3,92,45.1,13.9,46.8,14.2
,Asian alone,Unknown,118,95,50,B,B,B,B,45,B,B,B,B
,Hispanic (of any race),Unknown,329,260,136,41.2,14.1,52.1,16.1,111,33.8,13.6,42.8,16
,White alone or in combination,Unknown,4129,4049,3165,76.6,2.2,78.2,2.2,2923,70.8,2.3,72.2,2.3
,Black alone or in combination,Unknown,241,233,122,50.5,12.9,52.2,13.1,104,43.4,12.8,44.8,13.1
,Asian alone or in combination,Unknown,129,106,62,48,18.4,58.3,20,57,43.8,18.3,53.3,20.3
WYOMING,Total,Unknown,436,427,304,69.7,2.7,71.1,2.7,277,63.5,2.8,64.8,2.8
,Unknown,Male,223,218,154,69.1,3.8,70.6,3.8,139,62.4,4,63.7,4
,Unknown,Female,213,209,150,70.3,3.8,71.7,3.8,138,64.7,4,66,4
,White alone,Unknown,405,399,284,70.2,2.8,71.2,2.8,260,64.3,2.9,65.3,2.9
,White non-Hispanic alone,Unknown,374,373,270,72.2,2.8,72.3,2.8,249,66.6,3,66.8,3
,Black alone,Unknown,5,5,4,B,B,B,B,3,B,B,B,B
,Asian alone,Unknown,6,4,3,B,B,B,B,3,B,B,B,B
,Hispanic (of any race),Unknown,32,26,15,B,B,B,B,12,B,B,B,B
,White alone or in combination,Unknown,409,404,289,70.5,2.8,71.6,2.8,264,64.6,2.9,65.5,2.9
,Black alone or in combination,Unknown,6,6,6,B,B,B,B,4,B,B,B,B
,Asian alone or in combination,Unknown,7,4,3,B,B,B,B,3,B,B,B,B
