"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
STATE,Race,Sex,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1
,Unknown,Male,1321,1182,798,60.4,3.9,67.5,3.9,718,54.4,4,60.7,4.1
,Unknown,Female,1438,1301,965,67.1,3.6,74.2,3.5,868,60.4,3.7,66.7,3.8
,White alone,Unknown,2258,2090,1538,68.1,2.8,73.6,2.8,1378,61,3,65.9,3
,White non-Hispanic alone,Unknown,1959,1897,1427,72.8,2.9,75.2,2.9,1287,65.7,3.1,67.8,3.1
,Black alone,Unknown,297,266,157,53,10.1,59.2,10.5,142,47.9,10.1,53.5,10.7
,Asian alone,Unknown,143,83,31,B,B,B,B,29,B,B,B,B
,Hispanic (of any race),Unknown,417,278,151,36.3,10.7,54.4,13.6,131,31.5,10.3,47.2,13.6
,White alone or in combination,Unknown,2281,2113,1561,68.4,2.8,73.9,2.8,1401,61.4,2.9,66.3,3
,Black alone or in combination,Unknown,324,293,185,57,9.6,63,9.8,170,52.3,9.7,57.9,10.1
,Asian alone or in combination,Unknown,148,88,36,B,B,B,B,34,B,B,B,B
DELAWARE,Total,Unknown,729,669,487,66.8,2.6,72.8,2.5,417,57.2,2.7,62.3,2.8
,Unknown,Male,342,306,216,63,3.8,70.4,3.8,183,53.5,4,59.7,4.1
,Unknown,Female,387,362,271,70.1,3.4,74.8,3.4,234,60.4,3.7,64.5,3.7
,White alone,Unknown,527,494,372,70.6,2.9,75.4,2.9,319,60.6,3.1,64.7,3.2
,White non-Hispanic alone,Unknown,472,464,360,76.3,2.9,77.6,2.9,308,65.2,3.2,66.3,3.2
,Black alone,Unknown,148,144,96,64.9,7,66.5,7,82,55.1,7.3,56.5,7.4
,Asian alone,Unknown,44,22,12,B,B,B,B,11,B,B,B,B
,Hispanic (of any race),Unknown,66,39,19,B,B,B,B,14,B,B,B,B
,White alone or in combination,Unknown,535,501,378,70.7,2.9,75.5,2.8,323,60.3,3.1,64.4,3.2
,Black alone or in combination,Unknown,154,150,100,65.2,6.9,66.8,6.9,83,54.2,7.2,55.5,7.2
,Asian alone or in combination,Unknown,45,22,12,B,B,B,B,12,B,B,B,B
DISTRICT OF COLUMBIA,Total,Unknown,553,512,420,75.9,2.4,82.1,2.2,380,68.7,2.6,74.3,2.5
,Unknown,Male,255,237,190,74.8,3.5,80.4,3.4,168,66.1,3.9,71,3.8
